station_id,station_name,locality_id,locality_name
80144139,Müllheim (Baden),7113,Müllheim (Baden)
80144154,Neuenburg (Baden),7113,Müllheim (Baden)
82001000,Luxembourg,8731,Luxembourg
82916015,Luxembourg – Gare,8731,Luxembourg
83000356,Torino Porta Susa,8565,Torino
83002196,Torino Porta Nuova,8565,Torino
83004523,Torino Lingotto,8565,Torino
85000109,Basel SBB,5877,Basel
85010082,Genève,5335,Genève
85010264,Genève Aéroport,5335,Genève
87024380,Le Puy-en-Velay Lafayette,5009,Le Puy-en-Velay
87107409,Vignory Centre,5672,Vignory
87107417,Chaumont Hôpital,4767,Chaumont
87107425,Bologne Salle des Fêtes,4640,Bologne
87107474,St-Dizier Hôpital,5167,St-Dizier
87108829,Sedan Place Calonne,5165,Sedan
87109306,Lille CHR,4652,Lille
87112326,Carignan Rue de la Paix,5076,Carignan
87112334,We,5076,Carignan
87112714,Margut Village,4789,Margut
87113001,Paris Gare de l’Est,4916,Paris
87117606,Lexy,8749,Lexy
87118000,Troyes,5342,Troyes
87139501,Troyes St-Martin Delaunay,5342,Troyes
87139659,Troyes Delestraint Belgique,5342,Troyes
87139667,Troyes Lombards,5342,Troyes
87142000,Chaumont,4767,Chaumont
87142224,Bologne,4640,Bologne
87142232,Vignory,5672,Vignory
87144212,Mirecourt,5691,Mirecourt
87171009,Reims Ville,89,Reims
87171272,Reims Maison Blanche,89,Reims
87171926,Champagne-Ardenne TGV,89,Reims
87172254,Sedan,5165,Sedan
87172353,Carignan,5076,Carignan
87172411,Margut Fromy,4789,Margut
87173468,Loures-Barousse,10564,Loures
87175000,St-Dizier,5167,St-Dizier
87175240,Lérouville,9490,Lérouville
87181016,St-Louis La-Chaussée,159,St-Louis (Haut Rhin)
87181222,Colmar St-Joseph,1349,Colmar
87182014,Colmar,1349,Colmar
87182055,Mulhouse – Dornach,4753,Mulhouse
87182063,Mulhouse,4753,Mulhouse
87182139,St-Louis,159,St-Louis (Haut Rhin)
87182204,Illfurth,729,Illfurth
87182337,Rouffach,736,Rouffach
87182352,Turckheim,738,Turckheim
87182394,Munster,4816,Munster
87182550,Vieux-Thann,162,Thann
87182568,Thann,162,Thann
87182592,Moosch,758,Moosch
87182600,St-Amarin,759,St-Amarin
87182626,Fellering,761,Fellering
87182634,Oderen,762,Oderen
87182667,Lutterbach,4711,Lutterbach
87182881,Thann – St-Jacques,162,Thann
87184002,Belfort-Ville,10610,Belfort – Montbéliard
87184408,Belfort-Montbéliard TGV (Meroux),10610,Belfort – Montbéliard
87184523,Montbéliard,10610,Belfort – Montbéliard
87187930,Basel St. Johann,5877,Basel
87191346,Kédange,9047,Kédange
