from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id,service_id
StopPoint:OCECar TER-87396572,StopPoint:OCECar TER-87396572,2,300,,,,,
StopPoint:OCECar TER-87406702,StopPoint:OCECar TER-87406702,2,300,,,,,
StopPoint:OCECar TER-87784520,StopPoint:OCECar TER-87784520,2,300,,,,,
StopPoint:OCECar TER-87611814,StopPoint:OCETrain TER-87611814,2,600,,,,,
StopPoint:OCETrain TER-87784611,StopPoint:OCECar TER-87784611,2,300,,,,,
StopPoint:OCETrain TER-87214650,StopPoint:OCETrain TER-87214650,2,300,,,,,
StopPoint:OCECar TER-87635854,StopPoint:OCECar TER-87635854,2,300,,,,,
StopPoint:OCEOUIGO-87113001,StopPoint:OCETrain TER-87391003,2,3000,,,,,
StopPoint:OCEOUIGO-87113001,StopPoint:OCETGV INOUI-87391003,2,3000,,,,,
StopPoint:OCEOUIGO-87113001,StopPoint:OCEOUIGO-87391003,2,3600,,,,,
StopPoint:OCETGV INOUI-87113001,StopPoint:OCETrain TER-87391003,2,3000,,,,,
StopPoint:OCETGV INOUI-87113001,StopPoint:OCETGV INOUI-87391003,2,3000,,,,,
StopPoint:OCETGV INOUI-87113001,StopPoint:OCEOUIGO-87391003,2,3000,,,,,
StopPoint:OCETrain TER-87113001,StopPoint:OCETrain TER-87391003,2,3000,,,,,
StopPoint:OCETrain TER-87113001,StopPoint:OCETGV INOUI-87391003,2,3000,,,,,
StopPoint:OCETrain TER-87113001,StopPoint:OCEOUIGO-87391003,2,3000,,,,,
StopPoint:OCEICE-87113001,StopPoint:OCETrain TER-87391003,2,3000,,,,,
StopPoint:OCEICE-87113001,StopPoint:OCETGV INOUI-87391003,2,3000,,,,,
StopPoint:OCEICE-87113001,StopPoint:OCEOUIGO-87391003,2,3000,,,,,
StopPoint:OCECar TER-87672006,StopPoint:OCECar TER-87672600,3,,,,,,
StopPoint:OCECar TER-87713834,StopPoint:OCETrain TER-87713834,2,600,,,,,
StopPoint:OCETrain TER-87473165,StopPoint:OCETrain TER-87473165,2,300,,,,,
StopPoint:OCETrain TER-87313569,StopPoint:OCECar TER-87313569,2,300,,,,,
StopPoint:OCECar TER-87743716,StopPoint:OCECar TER-87743716,2,300,,,,,
StopPoint:OCECar TER-87718130,StopPoint:OCECar TER-87718130,2,300,,,,,
StopPoint:OCECar TER-87611327,StopPoint:OCECar TER-87130898,2,3600,,,,,
