stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE71043075,FIGUERES-VILAFANT,,42.26458100,2.943028000,,,1,
StopPoint:OCETGV INOUI-71043075,FIGUERES-VILAFANT,,42.26458100,2.943028000,,,0,StopArea:OCE71043075
StopArea:OCE71718010,Barcelone-Sants,,41.37896100,2.139834000,,,1,
StopPoint:OCETGV INOUI-71718010,Barcelone-Sants,,41.37896100,2.139834000,,,0,StopArea:OCE71718010
StopArea:OCE71793000,GIRONA,,41.97937100,2.816957000,,,1,
StopPoint:OCETGV INOUI-71793000,GIRONA,,41.97937100,2.816957000,,,0,StopArea:OCE71793000
StopArea:OCE71793150,Portbou,,42.42470100,3.158034000,,,1,
StopPoint:OCECar TER-71793150,Portbou,,42.42470100,3.158034000,,,0,StopArea:OCE71793150
StopPoint:OCETrain TER-71793150,Portbou,,42.42470100,3.158034000,,,0,StopArea:OCE71793150
StopArea:OCE80021402,Augsburg Hbf,,48.36540000,10.88600000,,,1,
StopPoint:OCEICE-80021402,Augsburg Hbf,,48.36540000,10.88600000,,,0,StopArea:OCE80021402
StopArea:OCE80110684,Francfort sur le Main,,50.10730000,8.662400000,,,1,
StopPoint:OCEICE-80110684,Francfort sur le Main,,50.10730000,8.662400000,,,0,StopArea:OCE80110684
StopArea:OCE80140087,Mannheim Hbf,,49.47940000,8.469600000,,,1,
StopPoint:OCEICE-80140087,Mannheim Hbf,,49.47940000,8.469600000,,,0,StopArea:OCE80140087
StopArea:OCE80140210,Heidelberg Hbf,,49.40350000,8.675400000,,,1,
StopPoint:OCEICE-80140210,Heidelberg Hbf,,49.40350000,8.675400000,,,0,StopArea:OCE80140210
StopArea:OCE80142281,Karlsruhe Hbf,,48.99350000,8.401900000,,,1,
StopPoint:OCEICE-80142281,Karlsruhe Hbf,,48.99350000,8.401900000,,,0,StopArea:OCE80142281
StopArea:OCE80142778,Baden-Baden,,48.79030000,8.190900000,,,1,
StopPoint:OCEICE-80142778,Baden-Baden,,48.79030000,8.190900000,,,0,StopArea:OCE80142778
StopArea:OCE80142893,Appenweier,,48.54190000,7.973500000,,,1,
StopPoint:OCECar TER-80142893,Appenweier,,48.54190000,7.973500000,,,0,StopArea:OCE80142893
StopPoint:OCETrain TER-80142893,Appenweier,,48.54190000,7.973500000,,,0,StopArea:OCE80142893
StopArea:OCE80142901,Legelshurst,,48.55850000,7.913800000,,,1,
StopPoint:OCECar TER-80142901,Legelshurst,,48.55850000,7.913800000,,,0,StopArea:OCE80142901
StopPoint:OCETrain TER-80142901,Legelshurst,,48.55850000,7.913800000,,,0,StopArea:OCE80142901
StopArea:OCE80142919,Kork,,48.57020000,7.874400000,,,1,
StopPoint:OCECar TER-80142919,Kork,,48.57020000,7.874400000,,,0,StopArea:OCE80142919
StopPoint:OCETrain TER-80142919,Kork,,48.57020000,7.874400000,,,0,StopArea:OCE80142919
StopArea:OCE80142927,Kehl,,48.57670000,7.806300000,,,1,
StopPoint:OCECar TER-80142927,Kehl,,48.57670000,7.806300000,,,0,StopArea:OCE80142927
StopPoint:OCETrain TER-80142927,Kehl,,48.57670000,7.806300000,,,0,StopArea:OCE80142927
StopArea:OCE80143099,Offenburg,,48.47650000,7.946800000,,,1,
StopPoint:OCECar TER-80143099,Offenburg,,48.47650000,7.946800000,,,0,StopArea:OCE80143099
StopPoint:OCETGV INOUI-80143099,Offenburg,,48.47650000,7.946800000,,,0,StopArea:OCE80143099
StopPoint:OCETrain TER-80143099,Offenburg,,48.47650000,7.946800000,,,0,StopArea:OCE80143099
StopArea:OCE80143198,Lahr (Schwarzw),,48.34060000,7.835300000,,,1,
StopPoint:OCETGV INOUI-80143198,Lahr (Schwarzw),,48.34060000,7.835300000,,,0,StopArea:OCE80143198
StopArea:OCE80143255,Ringsheim,,48.24890000,7.773200000,,,1,
StopPoint:OCETGV INOUI-80143255,Ringsheim,,48.24890000,7.773200000,,,0,StopArea:OCE80143255
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,,47.99790000,7.841600000,,,1,
StopPoint:OCECar TER-80143503,Freiburg (Breisgau) Hbf,,47.99790000,7.841600000,,,0,StopArea:OCE80143503
StopPoint:OCETGV INOUI-80143503,Freiburg (Breisgau) Hbf,,47.99790000,7.841600000,,,0,StopArea:OCE80143503
StopPoint:OCETrain TER-80143503,Freiburg (Breisgau) Hbf,,47.99790000,7.841600000,,,0,StopArea:OCE80143503
StopArea:OCE80144139,Muellheim (Baden),,47.81000000,7.599600000,,,1,
StopPoint:OCECar TER-80144139,Muellheim (Baden),,47.81000000,7.599600000,,,0,StopArea:OCE80144139
StopPoint:OCETrain TER-80144139,Muellheim (Baden),,47.81000000,7.599600000,,,0,StopArea:OCE80144139
StopArea:OCE80144154,Neuenburg (Baden),,47.81150000,7.562800000,,,1,
StopPoint:OCECar TER-80144154,Neuenburg (Baden),,47.81150000,7.562800000,,,0,StopArea:OCE80144154
StopPoint:OCETrain TER-80144154,Neuenburg (Baden),,47.81150000,7.562800000,,,0,StopArea:OCE80144154
StopArea:OCE80190512,Mainz Hbf,,50.00130000,8.258500000,,,1,
StopPoint:OCETrain TER-80190512,Mainz Hbf,,50.00130000,8.258500000,,,0,StopArea:OCE80190512
StopArea:OCE80190603,Nierstein,,49.87210000,8.342700000,,,1,
StopPoint:OCETrain TER-80190603,Nierstein,,49.87210000,8.342700000,,,0,StopArea:OCE80190603
StopArea:OCE80190686,Worms Hbf,,49.63480000,8.356600000,,,1,
StopPoint:OCETrain TER-80190686,Worms Hbf,,49.63480000,8.356600000,,,0,StopArea:OCE80190686
StopArea:OCE80190736,Frankenthal Hbf,,49.53560000,8.349700000,,,1,
StopPoint:OCETrain TER-80190736,Frankenthal Hbf,,49.53560000,8.349700000,,,0,StopArea:OCE80190736
