route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,trip_route_type
FR:Line::b75b6dc1-68f2-4102-9997-525f7709dc77:,000320,OCESN865452F1187_F:TER:FR:Line::b75b6dc1-68f2-4102-9997-525f7709dc77::87595009:87595512:3:1547:20260917,865452,1,27356,,TRAIN_TER,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000365,OCESN13121F1187_F:TER:FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49::87384008:87411017:6:1243:20261212,13121,0,699,,TRAIN_TER,
FR:Line::5D89C2F5-735F-4E7B-BD48-FF6274049ADC:,000029,OCESN855231F1187_F:TER:FR:Line::5D89C2F5-735F-4E7B-BD48-FF6274049ADC::87471508:87471003:7:1138:20260926,855231,0,21550,,TRAIN_TER,
FR:Line::468B44B7-C327-4154-B85E-25C67C32B61E:,005906,OCESN3133F1187_F:TER:FR:Line::468B44B7-C327-4154-B85E-25C67C32B61E::87384008:87413013:5:2251:20261212,3133,1,3996,,TRAIN_TER,
FR:Line::EF683B67-9F06-479B-9E5B-BB38D497333B:,000045,OCESN841853F1187_F:TER:FR:Line::EF683B67-9F06-479B-9E5B-BB38D497333B::87286005:87343004:9:1949:20260920,841853,1,17409,,TRAIN_TER,
FR:Line::3175F4A9-2947-4E88-95A8-B0A98B88A418:,000116,OCESN842268F1187_F:TER:FR:Line::3175F4A9-2947-4E88-95A8-B0A98B88A418::87286005:87345025:6:2008:20261211,842268,1,17526,,TRAIN_TER,
FR:Line::E5FF5D61-7D3C-4DDA-9663-3C36510681CF:,000257,OCESN86971F1187_F:TER:FR:Line::E5FF5D61-7D3C-4DDA-9663-3C36510681CF::87611004:71793150:23:1052:20261121,86971,0,29057,,TRAIN_TER,
FR:Line::CEF7AF34-67BB-4735-B487-128F1E5EA4FA:,000303,OCESN7841F1187_F:OGO:FR:Line::CEF7AF34-67BB-4735-B487-128F1E5EA4FA::87286005:87751008:7:1610:20261023,7841,0,12775,,OUIGO,
FR:Line::7A09BA80-0546-49AC-B82C-88AD0D0D5AAF:,000969,OCESN854726F1187_F:TER:FR:Line::7A09BA80-0546-49AC-B82C-88AD0D0D5AAF::87473223:87473009:4:1223:20260925,854726,0,21376,,TRAIN_TER,
FR:Line::CEF7AF34-67BB-4735-B487-128F1E5EA4FA:,000134,OCESN7841F1187_F:OGO:FR:Line::CEF7AF34-67BB-4735-B487-128F1E5EA4FA::87286005:87751008:7:1610:20261024,7841,0,12774,,OUIGO,
FR:Line::B8877FA9-B743-4894-9C3C-F80156E0477E:,002802,OCESN830453F1187_F:TER:FR:Line::B8877FA9-B743-4894-9C3C-F80156E0477E::87184002:87182063:8:1439:20261212,830453,1,13298,,TRAIN_TER,
FR:Line::CEF7AF34-67BB-4735-B487-128F1E5EA4FA:,000040,OCESN7841F1187_F:OGO:FR:Line::CEF7AF34-67BB-4735-B487-128F1E5EA4FA::87286005:87751008:7:1610:20261025,7841,0,12763,,OUIGO,
FR:Line::8a1bc223-73e7-4815-a5f4-7f15db60625a:,000116,OCEEA848867F5235_F:TER:FR:Line::8a1bc223-73e7-4815-a5f4-7f15db60625a::87313874:87342014:8:1323:20261211,848867,0,19753,,TRAIN_TER,
FR:Line::48d37a58-70b6-4c31-937f-b2a0d2d9cc1a:,000029,OCESN847854F1187_F:TER:FR:Line::48d37a58-70b6-4c31-937f-b2a0d2d9cc1a::87276691:87271007:4:651:20260926,847854,0,18978,,TRAIN_TER,
FR:Line::4E107FD7-35FD-4917-837F-6C15155AF6C4:,003748,OCESN85577R1187_R:CTE:FR:Line::4E107FD7-35FD-4917-837F-6C15155AF6C4::87295006:88720090:2:2028:20261025,85577,1,21964,,CAR_TER,701
FR:Line::8B3F1FD1-3870-435B-8D30-A6998230AC64:,000069,OCESN891401F1187_F:TER:FR:Line::8B3F1FD1-3870-435B-8D30-A6998230AC64::87713040:87713578:8:734:20261031,891401,1,35989,,TRAIN_TER,
FR:Line::510B9A71-D5BA-4662-BBF4-52C37975DCD5:,000011,OCESN43976R1187_R:CTE:FR:Line::510B9A71-D5BA-4662-BBF4-52C37975DCD5::87212142:87936989:8:1313:20261212,43976,0,7829,,CAR_TER,
FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,004551,OCESN876366F1187_F:TER:FR:Line::0202671B-7107-429E-A37B-473C55E0254C::87773002:87765008:11:1352:20261211,876366,1,30971,,TRAIN_TER,
